name,unit,expression,value,comment,favorite
tube_radius,mm,11,11,Physical tube radius - given spec,true
tube_od,mm,tube_radius * 2,22,Outer diameter of metal pipe,true
tube_wall,mm,2,2,Pipe wall thickness - 2-3mm range start at 2mm,false
tube_id,mm,tube_od - (tube_wall * 2),18,Inner bore diameter,true
link1_length,mm,200,200,Shoulder joint to elbow joint,true
link2_length,mm,180,180,Elbow joint to wrist joint,true
link3_length,mm,80,80,Wrist joint to gripper interface face,true
connector_wall,mm,3.5,3.5,Min printed wall for M3 insert clearance,false
connector_clearance,mm,0.3,0.3,Slip fit over tube OD - tune after first print,false
connector_socket_depth,mm,25,25,Tube insertion depth into socket,false
connector_socket_od,mm,tube_od + connector_clearance + (connector_wall * 2),29.3,Outer diameter of printed socket,false
centering_boss_dia,mm,12,12,Locating boss on joint interface face,false
centering_boss_height,mm,2.5,2.5,Raised boss height above interface face,false
bolt_circle_dia,mm,30,30,M3 bolt circle PCD on interface face,false
interface_bolt_count,,4,4,M3 bolts on interface face at 90deg spacing,false
rib_thickness,mm,2.5,2.5,Longitudinal stiffening ribs on socket OD,false
rib_height,mm,3,3,Outward rib projection from socket OD surface,false
bolt_dia,mm,3,3,M3 standard throughout entire arm,false
bolt_head_dia,mm,5.5,5.5,M3 cap head OD,false
bolt_hole_clearance,mm,3.4,3.4,Clearance hole diameter for M3,false
insert_od,mm,4.5,4.5,Plastic M3 insert OD - verify with supplier,false
insert_depth,mm,6,6,Plastic M3 insert seated depth,false
insert_hole_dia,mm,4.2,4.2,Press hole for M3 insert - verify with supplier,false
setscrew_count,,3,3,Radial set screws per socket at 120deg,false
setscrew_dia,mm,3,3,M3 set screws biting into tube OD,false
setscrew_depth_from_opening,mm,connector_socket_depth / 2,12.5,Set screw centerline from socket opening,false
tendon_dia,mm,0.5,0.5,Fishing line diameter - measure actual before finalizing,false
ptfe_liner_id,mm,2,2,PTFE tube inner bore per line,false
ptfe_liner_od,mm,4,4,PTFE tube outer diameter,false
ptfe_liner_count,,4,4,One liner per bore line - wrist fwd/bck + gripper A/B,false
bore_channel_spacing,mm,6,6,Center to center between adjacent PTFE liners,false
